price,distance,time,am_pm,tod(hr),tod_class
3368.0,25.53,2022-10-11 09:16:00,PM,9,morning
0.0,0.0,2022-10-11 12:19:00,PM,12,afternoon
1600.0,11.11,2022-10-11 11:03:00,AM,11,morning
1000.0,3.43,2022-10-11 10:01:00,PM,10,morning
0.0,0.0,2022-10-11 09:53:00,PM,9,morning
1514.0,8.76,2022-10-11 04:18:00,PM,4,night
1669.0,11.19,2022-10-11 02:48:00,PM,2,night
0.0,0.0,2022-10-11 02:39:00,PM,2,night
0.0,0.0,2022-10-11 02:35:00,PM,2,night
0.0,0.0,2022-10-11 04:59:00,PM,4,night
0.0,0.0,2022-10-11 03:09:00,PM,3,night
0.0,0.0,2022-10-11 10:57:00,PM,10,morning
1618.0,9.96,2022-10-11 01:15:00,PM,1,night
4141.0,34.88,2022-10-11 04:22:00,PM,4,night
0.0,0.0,2022-10-11 01:15:00,PM,1,night
2736.0,20.53,2022-10-11 08:08:00,PM,8,morning
2647.0,20.31,2022-10-11 11:13:00,AM,11,morning
2400.0,16.62,2022-10-11 05:05:00,PM,5,night
0.0,0.0,2022-10-11 04:31:00,PM,4,night
1900.0,15.31,2022-10-11 11:30:00,AM,11,morning
0.0,0.0,2022-10-11 02:22:00,PM,2,night
0.0,0.0,2022-10-11 01:16:00,PM,1,night
0.0,0.0,2022-10-11 01:13:00,PM,1,night
0.0,0.0,2022-10-11 11:25:00,PM,11,morning
1500.0,10.16,2022-10-11 01:49:00,PM,1,night
0.0,0.0,2022-10-11 04:17:00,PM,4,night
0.0,0.0,2022-10-11 11:40:00,PM,11,morning
0.0,0.0,2022-10-11 11:37:00,PM,11,morning
2000.0,13.13,2022-10-11 08:29:00,PM,8,morning
0.0,0.0,2022-10-11 08:22:00,PM,8,morning
0.0,0.0,2022-10-11 04:46:00,PM,4,night
1617.0,9.38,2022-10-11 03:52:00,PM,3,night
0.0,0.0,2022-10-11 03:49:00,PM,3,night
1771.0,13.85,2022-10-11 12:38:00,PM,12,afternoon
0.0,0.0,2022-10-11 10:04:00,AM,10,morning
0.0,0.0,2022-10-11 01:25:00,PM,1,night
0.0,0.0,2022-10-11 01:19:00,PM,1,night
0.0,0.0,2022-10-11 04:46:00,AM,4,night
3700.0,34.17,2022-10-11 11:14:00,PM,11,morning
0.0,0.0,2022-10-11 11:13:00,PM,11,morning
0.0,0.0,2022-10-11 11:06:00,PM,11,morning
0.0,0.0,2022-10-11 12:16:00,PM,12,afternoon
800.0,2.63,2022-10-11 03:41:00,AM,3,night
0.0,0.0,2022-10-11 05:08:00,PM,5,night
601.0,2.69,2022-10-11 02:41:00,AM,2,night
0.0,0.0,2022-10-11 12:42:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:14:00,PM,12,afternoon
0.0,0.0,2022-10-11 10:40:00,AM,10,morning
0.0,0.0,2022-10-11 10:30:00,AM,10,morning
0.0,0.0,2022-10-11 10:25:00,AM,10,morning
1704.0,12.99,2022-10-11 11:46:00,AM,11,morning
600.0,1.21,2022-10-11 03:42:00,AM,3,night
1463.0,11.0,2022-10-11 06:03:00,PM,6,morning
1515.0,12.77,2022-10-11 04:20:00,PM,4,night
0.0,0.0,2022-10-11 04:20:00,PM,4,night
1257.0,10.06,2022-10-11 09:51:00,PM,9,morning
2956.0,24.14,2022-10-11 12:44:00,PM,12,afternoon
0.0,0.0,2022-10-11 11:21:00,AM,11,morning
2537.0,20.1,2022-10-11 10:08:00,AM,10,morning
1463.0,8.75,2022-10-11 10:50:00,AM,10,morning
0.0,0.0,2022-10-11 03:18:00,PM,3,night
2020.0,10.94,2022-10-11 01:28:00,PM,1,night
0.0,0.0,2022-10-11 01:11:00,PM,1,night
0.0,0.0,2022-10-11 11:03:00,AM,11,morning
0.0,0.0,2022-10-11 09:35:00,AM,9,morning
0.0,0.0,2022-10-11 01:05:00,PM,1,night
0.0,0.0,2022-10-11 01:04:00,PM,1,night
0.0,0.0,2022-10-11 11:00:00,PM,11,morning
0.0,0.0,2022-10-11 10:49:00,PM,10,morning
0.0,0.0,2022-10-11 10:42:00,PM,10,morning
0.0,0.0,2022-10-11 04:04:00,PM,4,night
0.0,0.0,2022-10-11 11:48:00,PM,11,morning
0.0,0.0,2022-10-11 11:45:00,PM,11,morning
0.0,0.0,2022-10-11 11:43:00,PM,11,morning
0.0,0.0,2022-10-11 03:18:00,PM,3,night
0.0,0.0,2022-10-11 03:15:00,PM,3,night
0.0,0.0,2022-10-11 03:10:00,PM,3,night
0.0,0.0,2022-10-11 01:07:00,PM,1,night
0.0,0.0,2022-10-11 12:50:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:38:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:34:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:31:00,PM,12,afternoon
1900.0,14.68,2022-10-11 06:01:00,AM,6,morning
0.0,0.0,2022-10-11 05:54:00,AM,5,night
0.0,0.0,2022-10-11 10:18:00,AM,10,morning
0.0,0.0,2022-10-11 09:43:00,PM,9,morning
0.0,0.0,2022-10-11 09:40:00,PM,9,morning
0.0,0.0,2022-10-11 09:38:00,PM,9,morning
1320.0,3.09,2022-10-11 07:48:00,PM,7,morning
0.0,0.0,2022-10-11 07:46:00,PM,7,morning
0.0,0.0,2022-10-11 01:54:00,PM,1,night
0.0,0.0,2022-10-11 01:53:00,PM,1,night
0.0,0.0,2022-10-11 11:14:00,AM,11,morning
1520.0,12.73,2022-10-11 08:21:00,AM,8,morning
0.0,0.0,2022-10-11 08:19:00,AM,8,morning
1520.0,11.13,2022-10-11 05:49:00,PM,5,night
1620.0,12.67,2022-10-11 12:18:00,PM,12,afternoon
4370.0,35.48,2022-10-11 08:28:00,PM,8,morning
0.0,0.0,2022-10-11 08:21:00,PM,8,morning
0.0,0.0,2022-10-11 08:20:00,PM,8,morning
4876.0,43.5,2022-10-11 01:42:00,PM,1,night
2270.0,12.82,2022-10-11 03:00:00,PM,3,night
0.0,0.0,2022-10-11 02:39:00,PM,2,night
0.0,0.0,2022-10-11 02:36:00,PM,2,night
0.0,0.0,2022-10-11 02:34:00,PM,2,night
0.0,0.0,2022-10-11 06:32:00,PM,6,morning
0.0,0.0,2022-10-11 08:11:00,PM,8,morning
0.0,0.0,2022-10-11 08:09:00,PM,8,morning
0.0,0.0,2022-10-11 06:26:00,AM,6,morning
0.0,0.0,2022-10-11 08:14:00,AM,8,morning
0.0,0.0,2022-10-11 08:10:00,AM,8,morning
0.0,0.0,2022-10-11 03:14:00,PM,3,night
0.0,0.0,2022-10-11 05:30:00,PM,5,night
2170.0,11.22,2022-10-11 11:51:00,AM,11,morning
0.0,0.0,2022-10-11 10:48:00,AM,10,morning
0.0,0.0,2022-10-11 10:47:00,AM,10,morning
3000.0,26.59,2022-10-11 04:54:00,PM,4,night
0.0,0.0,2022-10-11 04:50:00,PM,4,night
2800.0,19.06,2022-10-11 02:35:00,PM,2,night
1800.0,14.01,2022-10-11 01:52:00,PM,1,night
0.0,0.0,2022-10-11 01:51:00,PM,1,night
1820.0,9.71,2022-10-11 03:10:00,PM,3,night
0.0,0.0,2022-10-11 01:58:00,PM,1,night
0.0,0.0,2022-10-11 01:57:00,PM,1,night
1700.0,12.75,2022-10-11 12:20:00,PM,12,afternoon
1700.0,11.2,2022-10-11 03:52:00,PM,3,night
0.0,0.0,2022-10-11 03:50:00,PM,3,night
0.0,0.0,2022-10-11 03:47:00,PM,3,night
3270.0,29.57,2022-10-11 01:29:00,PM,1,night
920.0,5.35,2022-10-11 08:10:00,PM,8,morning
873.0,5.23,2022-10-11 08:30:00,PM,8,morning
1577.0,12.77,2022-10-11 03:18:00,PM,3,night
2320.0,19.04,2022-10-11 12:53:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:51:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:38:00,PM,12,afternoon
0.0,0.0,2022-10-11 11:13:00,AM,11,morning
0.0,0.0,2022-10-11 05:00:00,PM,5,night
0.0,0.0,2022-10-11 05:00:00,PM,5,night
0.0,0.0,2022-10-11 04:53:00,PM,4,night
1500.0,12.77,2022-10-11 03:52:00,PM,3,night
1800.0,11.52,2022-10-11 02:39:00,PM,2,night
1700.0,12.77,2022-10-11 12:44:00,PM,12,afternoon
2100.0,13.26,2022-10-11 12:53:00,PM,12,afternoon
1300.0,9.25,2022-10-11 10:19:00,AM,10,morning
1300.0,8.71,2022-10-11 07:22:00,AM,7,morning
0.0,0.0,2022-10-11 01:28:00,PM,1,night
1400.0,8.38,2022-10-11 12:22:00,PM,12,afternoon
0.0,0.0,2022-10-11 12:17:00,PM,12,afternoon
1800.0,13.77,2022-10-11 01:30:00,PM,1,night
0.0,0.0,2022-10-11 01:27:00,PM,1,night
0.0,0.0,2022-10-11 01:07:00,PM,1,night
1700.0,11.77,2022-10-11 11:18:00,AM,11,morning
1500.0,10.43,2022-10-11 09:54:00,AM,9,morning
2500.0,19.6,2022-10-11 09:37:00,AM,9,morning
2300.0,21.21,2022-10-11 03:20:00,PM,3,night
0.0,0.0,2022-10-11 10:31:00,AM,10,morning
0.0,0.0,2022-10-11 05:34:00,PM,5,night
1900.0,12.05,2022-10-11 02:07:00,PM,2,night
5600.0,25.58,2022-10-11 08:03:00,AM,8,morning
1500.0,12.56,2022-10-11 09:35:00,AM,9,morning
1200.0,8.22,2022-10-11 10:06:00,AM,10,morning
0.0,0.0,2022-10-11 10:06:00,AM,10,morning
0.0,0.0,2022-10-11 11:17:00,AM,11,morning
0.0,0.0,2022-10-11 08:59:00,AM,8,morning
0.0,0.0,2022-10-11 08:57:00,AM,8,morning
1800.0,15.59,2022-10-11 07:03:00,PM,7,morning
0.0,0.0,2022-10-11 06:59:00,PM,6,morning
0.0,0.0,2022-10-11 01:31:00,PM,1,night
0.0,0.0,2022-10-11 01:28:00,PM,1,night
0.0,0.0,2022-10-11 08:35:00,AM,8,morning
0.0,0.0,2022-10-11 08:30:00,AM,8,morning
2300.0,20.23,2022-10-11 09:23:00,PM,9,morning
0.0,0.0,2022-10-11 07:58:00,AM,7,morning
0.0,0.0,2022-10-11 07:57:00,AM,7,morning
0.0,0.0,2022-10-11 06:18:00,AM,6,morning
0.0,0.0,2022-10-11 10:58:00,AM,10,morning
1600.0,12.69,2022-10-11 03:35:00,PM,3,night
900.0,6.17,2022-10-11 12:25:00,PM,12,afternoon
0.0,0.0,2022-10-11 10:21:00,AM,10,morning
0.0,0.0,2022-10-11 10:12:00,AM,10,morning
0.0,0.0,2022-10-11 05:58:00,PM,5,night
0.0,0.0,2022-10-11 05:50:00,PM,5,night
0.0,0.0,2022-10-11 09:11:00,AM,9,morning
0.0,0.0,2022-10-11 09:54:00,AM,9,morning
0.0,0.0,2022-10-11 07:53:00,PM,7,morning
0.0,0.0,2022-10-11 07:25:00,AM,7,morning
0.0,0.0,2022-10-11 06:13:00,AM,6,morning
0.0,0.0,2022-10-11 09:37:00,PM,9,morning
0.0,0.0,2022-10-11 09:22:00,PM,9,morning
0.0,0.0,2022-10-11 07:15:00,PM,7,morning
0.0,0.0,2022-10-11 10:52:00,PM,10,morning
0.0,0.0,2022-10-11 10:49:00,PM,10,morning
0.0,0.0,2022-10-11 10:47:00,PM,10,morning
0.0,0.0,2022-10-11 06:59:00,PM,6,morning
1420.0,11.49,2022-10-11 12:55:00,PM,12,afternoon
0.0,0.0,2022-10-11 10:31:00,AM,10,morning
